origin_id,origin_name,station_id,activity_start_date,activity_start_time,characteristic_name,units,sample_fraction,value_type,statistic_type,result_value_numeric,datetime
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-30,1899-12-31 14:20:00,Specific conductance,mS/cm,NA,Actual,NA,0.4421,2014-09-30T14:20:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-16,1899-12-31 12:17:00,pH,None,NA,Actual,NA,6.93,2014-09-16T12:17:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-29,1899-12-31 10:22:00,pH,None,NA,Actual,NA,6.78,2014-09-29T10:22:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-24,1899-12-31 11:50:00,pH,None,NA,Actual,NA,6.78,2014-09-24T11:50:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-29,1899-12-31 10:22:00,Specific conductance,mS/cm,NA,Actual,NA,0.4396,2014-09-29T10:22:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-16,1899-12-31 12:17:00,Specific conductance,mS/cm,NA,Actual,NA,0.4444,2014-09-16T12:17:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-30,1899-12-31 14:20:00,pH,None,NA,Actual,NA,6.93,2014-09-30T14:20:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M4,2014-09-24,1899-12-31 11:50:00,Specific conductance,mS/cm,NA,Actual,NA,0.419,2014-09-24T11:50:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL20,2014-09-29,1899-12-31 09:18:00,Specific conductance,deg C,NA,Actual,NA,0.4016,2014-09-29T09:18:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL20,2014-09-29,1899-12-31 09:18:00,pH,None,NA,Actual,NA,8.6,2014-09-29T09:18:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL19,2014-09-29,1899-12-31 10:47:00,Specific conductance,deg C,NA,Actual,NA,0.3439,2014-09-29T10:47:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL19,2014-09-29,1899-12-31 10:47:00,pH,None,NA,Actual,NA,9.25,2014-09-29T10:47:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL16,2014-09-29,1899-12-31 11:01:00,pH,None,NA,Actual,NA,9.26,2014-09-29T11:01:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL16,2014-09-29,1899-12-31 11:01:00,Specific conductance,deg C,NA,Actual,NA,0.375,2014-09-29T11:01:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M2,2014-09-29,1899-12-31 09:52:00,pH,None,NA,Actual,NA,6.78,2014-09-29T09:52:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M2,2014-09-29,1899-12-31 09:52:00,Specific conductance,mS/cm,NA,Actual,NA,0.4398,2014-09-29T09:52:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M1,2014-09-29,1899-12-31 09:46:00,Specific conductance,mS/cm,NA,Actual,NA,0.4404,2014-09-29T09:46:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M1,2014-09-29,1899-12-31 09:46:00,pH,None,NA,Actual,NA,6.75,2014-09-29T09:46:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL12,2014-09-29,1899-12-31 09:59:00,pH,None,NA,Actual,NA,6.75,2014-09-29T09:59:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL12,2014-09-29,1899-12-31 09:59:00,Specific conductance,deg C,NA,Actual,NA,0.4374,2014-09-29T09:59:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-30,1899-12-31 14:05:00,pH,None,NA,Actual,NA,9.25,2014-09-30T14:05:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-24,1899-12-31 11:03:00,pH,None,NA,Actual,NA,8.93,2014-09-24T11:03:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-29,1899-12-31 09:09:00,Specific conductance,mS/cm,NA,Actual,NA,0.3774,2014-09-29T09:09:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-16,1899-12-31 12:28:00,pH,None,NA,Actual,NA,9.43,2014-09-16T12:28:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-29,1899-12-31 09:09:00,pH,None,NA,Actual,NA,9.17,2014-09-29T09:09:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-30,1899-12-31 14:05:00,Specific conductance,mS/cm,NA,Actual,NA,0.375,2014-09-30T14:05:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-24,1899-12-31 11:03:00,Specific conductance,mS/cm,NA,Actual,NA,0.3975,2014-09-24T11:03:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL6,2014-09-16,1899-12-31 12:28:00,Specific conductance,mS/cm,NA,Actual,NA,0.3771,2014-09-16T12:28:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL17,2014-09-29,1899-12-31 09:03:00,Total dissolved solids,g/l,NA,Actual,NA,0.2439,2014-09-29T09:03:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL17,2014-09-29,1899-12-31 09:01:00,Total dissolved solids,g/l,NA,Actual,NA,0.2442,2014-09-29T09:01:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL5,2014-09-29,1899-12-31 08:49:00,Total dissolved solids,g/l,NA,Actual,NA,0.243,2014-09-29T08:49:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",M3,2014-09-29,1899-12-31 10:14:00,Total dissolved solids,g/l,NA,Actual,NA,0.2799,2014-09-29T10:14:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL5,2014-09-29,1899-12-31 08:51:00,Total dissolved solids,g/l,NA,Actual,NA,0.2437,2014-09-29T08:51:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL11,2014-09-29,1899-12-31 10:52:00,Total dissolved solids,g/l,NA,Actual,NA,0.2357,2014-09-29T10:52:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",CLV7,2014-09-24,1899-12-31 10:56:00,Total dissolved solids,g/l,NA,Actual,NA,0.277,2014-09-24T10:56:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",BVCL3,2014-09-29,1899-12-31 08:45:00,Total dissolved solids,g/l,NA,Actual,NA,0.2655,2014-09-29T08:45:00Z
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",CLV7,2014-09-16,1899-12-31 12:56:00,Total dissolved solids,g/l,NA,Actual,NA,0.2888,2014-09-16T12:56:00Z
